[04-Jul-2017 13:52:12 Asia/Shanghai] PHP Fatal error:  require(): Failed opening required '../mongo/CurdFactory.php' (include_path='.:/usr/local/php/lib/php') in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 4
[04-Jul-2017 13:54:02 Asia/Shanghai] PHP Warning:  require(../mongo/CurdFactory.php): failed to open stream: No such file or directory in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 4
[04-Jul-2017 13:54:02 Asia/Shanghai] PHP Fatal error:  require(): Failed opening required '../mongo/CurdFactory.php' (include_path='.:/usr/local/php/lib/php') in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 4
[04-Jul-2017 13:55:40 Asia/Shanghai] PHP Fatal error:  Cannot redeclare class Zhanghao\Practice\mongo\CurdFactory in /var/www/html/test/zhanghao/users/mongo/CurdFactory.php on line 6
[04-Jul-2017 13:57:00 Asia/Shanghai] PHP Warning:  require(../mongo/CurdFactory.php): failed to open stream: No such file or directory in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 4
[04-Jul-2017 13:57:00 Asia/Shanghai] PHP Fatal error:  require(): Failed opening required '../mongo/CurdFactory.php' (include_path='.:/usr/local/php/lib/php') in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 4
[04-Jul-2017 13:57:02 Asia/Shanghai] PHP Warning:  require(../mongo/CurdFactory.php): failed to open stream: No such file or directory in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 4
[04-Jul-2017 13:57:02 Asia/Shanghai] PHP Fatal error:  require(): Failed opening required '../mongo/CurdFactory.php' (include_path='.:/usr/local/php/lib/php') in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 4
[04-Jul-2017 13:57:12 Asia/Shanghai] PHP Warning:  require(../../mongo/CurdFactory.php): failed to open stream: No such file or directory in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 4
[04-Jul-2017 13:57:12 Asia/Shanghai] PHP Fatal error:  require(): Failed opening required '../../mongo/CurdFactory.php' (include_path='.:/usr/local/php/lib/php') in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 4
[04-Jul-2017 13:57:20 Asia/Shanghai] PHP Fatal error:  Cannot redeclare class Zhanghao\Practice\mongo\CurdFactory in /var/www/html/test/zhanghao/users/mongo/CurdFactory.php on line 6
[04-Jul-2017 13:59:25 Asia/Shanghai] PHP Fatal error:  Cannot redeclare class Zhanghao\Practice\mongo\CurdFactory in /var/www/html/test/zhanghao/users/mongo/CurdFactory.php on line 6
[04-Jul-2017 14:00:02 Asia/Shanghai] PHP Warning:  Missing argument 1 for Zhanghao\Practice\users\GeneralUser::login(), called in /var/www/html/test/zhanghao/users/index.php on line 8 and defined in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 14
[04-Jul-2017 14:00:02 Asia/Shanghai] PHP Warning:  Missing argument 2 for Zhanghao\Practice\users\GeneralUser::login(), called in /var/www/html/test/zhanghao/users/index.php on line 8 and defined in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 14
